id	langId	sent#	book	author	source	source_lang	target	target_lang
11	11	4	a_childrens_bible	lydia_millet	The house itself, though, we’d never have harmed. Rafe enjoyed setting fires, but limited his arson to the greenhouse: a pile of hockey sticks and croquet mallets. He also burned stuff in a clearing in the woods—immolated a garden gnome. Its melting plastic gave off thick smoke and a disgusting smell. One of the parents noticed the smoke rising above a stand of pines and elected to stay on the porch, nursing a dry martini.	en	Na dom jednak nigdy nie podnieślibyśmy ręki. Rafe lubił wzniecać ogień, ale ograniczał piromańskie zapędy do terenu szklarni: zrobił tam ognisko z kijów do hokeja i młotków do krokieta. Palił też różne rzeczy na polanie w lesie – raz złożył w ofierze krasnala ogrodowego. Z topiącego się plastiku wydobywał się gęsty dym i obrzydliwy smród. Ktoś z rodziców zauważył ciemną smugę, unoszącą się spośród koron sosen, ale postanowił zostać na ganku; wytrawne martini nie wypije się samo.	pl
12	12	6	a_childrens_bible	lydia_millet	I’d sit up high on a platform, now and then, with others sitting around me, swinging their legs, drinking from soda cans or beer bottles. Idly throwing pebbles at chipmunks. (The little boys put a stop to that, citing animal cruelty.) Braiding each other’s hair, writing on each other’s jeans, painting their fingernails. Trying to sniff glue from the so-called rec room we didn’t use. It never gave you a high.	en	Czasami siedziałam na wysokiej platformie wśród innych dzieci machających nogami, popijających colę z puszki albo piwo z butelek. Od niechcenia rzucało się kamykami w wiewiórki. (Najmłodsi chłopcy położyli temu kres, oskarżając nas o okrucieństwo wobec zwierząt). Zaplataliśmy sobie włosy, pisaliśmy na dżinsach, malowaliśmy jedno drugiemu paznokcie. Próbowaliśmy wąchać klej z tak zwanej świetlicy, z której nie korzystaliśmy. Bez skutku – nigdy po nim nie klepało.	pl
13	13	7	a_childrens_bible	lydia_millet	Yes, it was known that we couldn’t stay young. But it was hard to believe, somehow. Say what you like about us, our legs and arms were strong and streamlined. I realize that now. Our stomachs were taut and unwrinkled, our foreheads similar. When we ran, if we chose to, we ran like flashes of silk. We had the vigor of those freshly born.	en	Owszem, wiedzieliśmy, że nie będziemy wiecznie młodzi, ale ciężko było w to uwierzyć. Cokolwiek by o nas mówić, ręce i nogi mieliśmy silne i smukłe. Teraz to wiem. Nasze brzuchy były napięte i niepomarszczone, podobnie jak czoła. Kiedy biegliśmy, jeśli akurat wzięła nas na to ochota, nasze ruchy były jak gładki jedwab. Mieliśmy w sobie wigor stworzeń dopiero co narodzonych.	pl
14	14	14	a_childrens_bible	lydia_millet	A few were professors, with three-month summer vacations. Others went back and forth between their offices and the house. One was a therapist, one a vagina doctor. (A raucous laugh from Juicy, then a quick kick by Sukey to his knee. “You got a problem with vaginas? Say it: vagina. Va-gi-na.”) One worked as an architect, another as a movie director. (The slip of paper read MAKING GAY MOVIES. “Demerit for homophobia,” said Rafe. “When I find out? Major demerit to the closeted queen who wrote that. Followed by a beating. It better not be you, Juicy.”)	en	Kilkoro było wykładowcami uniwersyteckimi na trzymiesięcznych letnich wakacjach. Inni jeździli tam i z powrotem między letniskiem a biurem. Jedno było terapeutą, jedno lekarzem od wagin. (Słysząc to, Śliski głośno zarechotał, na co Sukey kopnęła go w kolano. „Masz coś do wagin? Powiedz: wagina. Wa-gi-na”). Ktoś był architektem, a ktoś reżyserem. (Na karteczce widniała informacja: ROBI GEJOWE FILMY. „Minus za homofobię” – oznajmił Rafe. „Kiedy się dowiem, która niewyoutowana ciota to napisała, to najpierw minus, a potem łomot. Lepiej, żebyś to nie był ty, Śliski”).	pl
15	15	7	a_childrens_bible	lydia_millet	Went without saying: our parents were artsy and educated types, but they weren’t impoverished, or they couldn’t have afforded the buy-in. A great house didn’t rent for cheap. Not for a whole summer. We figured there were probably a couple of charity cases, or at least a sliding scale. David, a techie who dearly missed his advanced computer setup back home, had let slip that his parents rented. Received a demerit for that. Not for the lack of home ownership—we hated money snobs—but for getting soft and confessional over a purloined bottle of Jäger.	en	To było jasne jak słońce: nasi rodzice byli z wykształconego, artystowskiego światka, ale nie narzekali na brak pieniędzy – w przeciwnym razie nie byłoby ich stać na taki wyjazd. Wynajem wielkiego domu nie był tani, zwłaszcza na całe lato. Domyślaliśmy się, że kilkoro pewnie załapało się na wyjazd w charakterze ubogich krewnych albo że przynajmniej płacą za pobyt proporcjonalnie mniej od reszty. David, typowy nerd, dotkliwie tęskniący za swoim wypasionym komputerem, wygadał się, że mieszka z rodzicami w wynajętym domu. Dostał za to minusa. Nie ze względu na nieposiadanie nieruchomości – nie znosiliśmy takiego snobizmu – ale za mięczakowate zwierzenia nad podebraną z domu butelką jägermeistera.	pl
16	16	5	a_childrens_bible	lydia_millet	Jen’s eleven-year-old brother was a gentle, deaf kid named Shel who wanted to be a veterinarian when he grew up. He suffered a bout of food poisoning just one week in and had to be tended by their parents, so that ID was made. The mother had adult braces and droopy shoulders, the father a greasy ponytail. He picked his nose while talking. He talked and picked, picked and talked.	en	Jedenastoletni brat Jen był łagodnym, głuchym chłopcem o imieniu Shel i chciał zostać weterynarzem, gdy dorośnie. Po zaledwie tygodniu wakacji Shel nabawił się zatrucia pokarmowego i trzeba było go oddać pod opiekę rodziców, więc siłą rzeczy musieli zostać zidentyfikowani. Matka miała aparat ortodontyczny i obwisłe ramiona, a ojciec włosy związane w przetłuszczony kucyk. Dłubał w nosie podczas rozmowy. Gadał i dłubał, dłubał i gadał.	pl
17	17	4	a_childrens_bible	lydia_millet	Of course, we’d put a positive spin on the thing. We didn’t need to reveal why we’d been playing in the first place. It didn’t have to be spoken aloud that our association with them diminished us and compromised our personal integrity. It didn’t need to be mentioned that direct evidence of our connection had been known to make us feel physically ill.	en	Oczywiście zamierzaliśmy im to przedstawić jako coś pozytywnego. Nie musieliśmy wyjawiać prawdziwej przyczyny, dla której wymyśliliśmy tę grę. Nie trzeba było mówić głośno, że wszelkie powiązania z nimi są dla nas kompromitujące i naruszające naszą nietykalność osobistą. Nie było powodu wspominać, że jakiekolwiek wzmianki o pokrewieństwie doprowadzają nas do mdłości.	pl
18	18	5	a_childrens_bible	lydia_millet	THE AUTHORITIES WERE most receptive in the magic hour before dinner, when they were lightly, pleasantly buzzed. Earlier, they tended to be cranky and might refuse. Later, they might be shit-faced and not remember the next morning. Drinking and talking time, they called it. It was then that we broached the subject.	en	Kierownictwo było najżyczliwiej nastawione w magicznej godzinie przed kolacją, już po wprawieniu się w stan lekkiego, przyjemnego rauszu. Wcześniej rodzice bywali drażliwi i mogliby odmówić. Później – nawaleni tak, że następnego dnia nic by nie pamiętali. To zaś była ich pora na picie i rozmowy. Wtedy podjęliśmy temat.	pl
19	19	3	a_childrens_bible	lydia_millet	Some parents smiled indulgently when we explained, while others resisted, trying to master their annoyance. But finally they said OK. They made no promises, but they’d attempt to avoid incriminating us.	en	Niektórzy rodzice słuchali naszych wyjaśnień z łaskawym uśmiechem, a inni byli niechętni, z trudem powstrzymywali irytację. W końcu jednak się zgodzili. Niczego nie obiecują, powiedzieli, ale postarają się nie pomieszać nam szyków.	pl
20	20	9	a_childrens_bible	lydia_millet	Also, we planned to camp on the beach for a few nights, said Rafe. Practicing self-sufficiency, added Terry. “Well, now, that’s another ball of wax,” said a father. One of the professors. His specialty was witch-burning. “All of you?” asked a mother. The youngest ones nodded—except for Kay and Amy the IVF twins, who shook their heads. “Good riddance,” muttered David. “But we didn’t bring tents!” said a second mother.	en	– Postanowiliśmy też spędzić kilka nocy pod namiotem na plaży – wtrącił Rafe. – Żeby poćwiczyć samowystarczalność – wyjaśnił Terry. – No, no, to już zupełnie inna para kaloszy – stwierdził jakiś ojciec. Był jednym z profesorów. Specjalizował się w temacie palenia czarownic. – Wszyscy? – upewniła się matka. Najmłodsze dzieci przytaknęły: z wyjątkiem bliźniaczek z in vitro, które pokręciły głowami. – No i dobrze – wymamrotał David. – Ale nie mamy namiotów! – zaprotestowała inna matka.	pl
21	21	8	what_can_you_see_from_here	mariana_leky	»Was ist denn?«, fragte ich. »Nichts«, flötete Selma, öffnete den Kühlschrank, holte ein Paket Schnittkäse und eine Leberwurst heraus und schwenkte beides durch die Luft. »Was darf’s denn heute aufs Schulbrot sein?«, flötete sie. »Mäuselchen«, flötete sie noch hinterher, und Flöten und Mäuselchen waren nun wirklich alarmierend. »Käse, bitte«, sagte ich, »was hast du denn?« »Nichts«, flötete Selma, »hab ich doch gesagt.« Sie strich Butter auf eine Scheibe Brot, und weil sie immer noch herumschlackerte, schubste sie dabei den Käse mit dem Handgelenk von der Anrichte. Selma hielt jetzt still und schaute hinab auf die Käsepackung, als sei sie etwas Kostbares, das in tausend Teile zersprungen war.	de	– Co się dzieje? – spytałam. – Nic – zaszczebiotała Selma, otworzyła lodówkę, wyjęła opakowanie krojonego sera żółtego i wątrobiankę i pomachała mi tym przed nosem. – Z czym sobie życzysz dzisiaj kanapkę do szkoły? – zaszczebiotała, po czym dodała: – Myszeńko? Te szczebioty i „myszeńki” były już doprawdy alarmujące. – Poproszę z serem. Ale co ci jest? – Nic – zaszczebiotała znów Selma. – Przecież mówiłam. – I zabrała się do smarowania kromki masłem, a ponieważ nadal się trzęsła, przegubem dłoni strąciła przy tym ser z kredensu. Zastygła w bezruchu i spojrzała w dół na opakowanie sera, jakby to było coś drogocennego, co rozbiło się na tysiąc kawałków.	pl
22	22	3	what_can_you_see_from_here	mariana_leky	Selma hatte in ihrem Leben dreimal von einem Okapi geträumt, und jedes Mal war danach jemand gestorben, deshalb waren wir überzeugt, dass der Traum von einem Okapi und der Tod unbedingt miteinander verbunden waren. Unser Verstand funktioniert so. Er kann innerhalb kürzester Zeit dafür sorgen, dass die einander abwegigsten Dinge fest zusammengehören. Kaffeekannen und Schnürsenkel beispielsweise, oder Pfandflaschen und Tannenbäume.	de	Selma trzy razy w życiu śniła o okapi i zawsze ktoś potem umierał, dlatego byliśmy przekonani, że sen o okapi i śmierć są nierozerwalnie związane. Tak działa nasz rozum. W mgnieniu oka może sprawić, że na trwałe powiążą się ze sobą najbardziej absurdalne elementy. Przykładowo: dzbanki do kawy i sznurówki albo butelki zwrotne i choinki.	pl
23	23	9	what_can_you_see_from_here	mariana_leky	»Was soll es denn sonst gewesen sein«, sagte Selma, und dass man ein Okapi ja nur schwerlich mit einem anderen Tier verwechseln könne. »Doch«, sagte ich, es könne ja auch ein verwachsenes Rind gewesen sein, eine falsch zusammengesetzte Giraffe, eine Laune der Natur, und die Streifen und das Rostrote, das könne man doch alles nicht so genau erkennen in der Nacht, da sei schließlich alles sehr verschwommen. »Das ist doch Quatsch«, sagte Selma und rieb sich die Stirn, »das ist doch leider Quatsch, Luise.« Sie legte eine Scheibe Käse auf das Brot, klappte es zusammen und legte es in meine Butterbrotdose. »Weißt du, wann genau du das geträumt hast?« »Gegen drei Uhr«, sagte Selma. Sie war hochgeschreckt, nachdem das Bild vom Okapi sich zurückgezogen hatte, aufrecht im Bett sitzend war sie aufgewacht und hatte auf ihr Nachthemd gestarrt, in dem sie eben noch im Traum auf der Uhlheck gestanden hatte, und dann auf den Wecker. Drei Uhr. »Wir sollten das wahrscheinlich nicht so ernst nehmen«, sagte Selma, aber sie sagte es wie ein Fernsehkommissar, der ein anonymes Schreiben nicht so ernst nimmt.	de	– A cóż by innego? – odparła Selma. – Trudno przecież pomylić okapi z innym zwierzęciem. – Ale to mogła być przecież jakaś przerośnięta krowa albo żyrafa złożona z niewłaściwych kawałków, taki kaprys natury, a co do pasów i rudego odcienia, to przecież w nocy nie da się zobaczyć wszystkiego aż tak dokładnie. Po ciemku wszystko całkiem się rozmywa. – Co za bzdura – fuknęła Selma i potarła sobie czoło. – To niestety kompletna bzdura, Luizo. I położyła plasterek sera na chlebie, skleiła kromki, po czym schowała kanapkę do mojego pudełka na drugie śniadanie. – Wiesz, o której ci się to śniło? – Koło trzeciej. Zerwała się ze snu, kiedy odpłynął obraz okapi, usiadła wyprostowana na łóżku i najpierw nie mogła oderwać wzroku od koszuli nocnej, w której dopiero co stała we śnie na łące w Sowim Gaju, a potem zerknęła na budzik. Była trzecia. – Chyba nie powinnyśmy brać tego aż tak na poważnie – skwitowała, ale powiedziała to tak, jak serialowi komisarze mówią, że nie biorą na poważnie jakiegoś anonimowego listu.	pl
24	24	28	what_can_you_see_from_here	mariana_leky	Die Zugfahrt dauerte fünfzehn Minuten, einen Zwischenhalt gab es nicht. Seit unserer ersten Zugfahrt spielten wir immer dasselbe: Wir stellten uns mit dem Rücken zu den Fenstern an die gegenüberliegenden Zugtüren, Martin machte die Augen zu, ich sah aus dem Fenster der Zugtür, die Martin im Rücken hatte. In der ersten Klasse hatte ich Martin aufgezählt, was ich während der Fahrt sah, und Martin versuchte, alles auswendig zu lernen. Das gelang sehr gut, sodass ich im zweiten Schuljahr nichts mehr aufzählte und Martin, mit dem Rücken zum Fenster und geschlossenen Augen, fast alles aufsagen konnte, was ich durch das beschlagene Zugfenster gerade sah: »Drahtfabrik«, sagte er, genau in dem Moment, als wir an der Drahtfabrik vorbeifuhren. »Jetzt Feld. Weide. Das Gehöft vom verrückten Hassel. Wiese. Wald. Wald. Hochsitz eins. Feld. Wald. Wiese. Weide, Weide. Reifenfabrik. Dorf. Weide. Feld. Hochsitz zwei. Waldstück. Hof. Feld. Wald. Hochsitz drei. Dorf.«	de	Podróż trwała piętnaście minut, pociąg nie zatrzymywał się po drodze. Od naszej pierwszej wspólnej podróży bawiliśmy się ciągle w tę samą grę: stawaliśmy plecami do okien w przeciwległych drzwiach wagonu, Martin zamykał oczy, a ja wyglądałam przez okno za jego plecami. W pierwszej klasie to ja recytowałam Martinowi, co widzę podczas jazdy, a on próbował nauczyć się wszystkiego na pamięć. Szło to całkiem nieźle i w drugiej klasie nic już nie musiałam podpowiadać, a Martin, stojąc z zamkniętymi oczami tyłem do okna, umiał wymienić prawie wszystko to, co akurat widziałam przez zaparowane okno pociągu. – Fabryka drutu – powiedział dokładnie w momencie, kiedy mijaliśmy fabrykę drutu. – Teraz pole. Łąka. Zagroda pomylonego Hassla. Pastwisko. Las. Las. Ambona pierwsza. Pole. Las. Pastwisko. Łąka, łąka. Fabryka opon. Wieś. Łąka. Pole. Ambona druga. Zagajnik. Zagroda. Pole. Las. Ambona trzecia. Wieś.	pl
25	25	9	what_can_you_see_from_here	mariana_leky	Bauer Häubel war der festen Überzeugung, dass der Tod höflich sein würde, so wie Bauer Häubel selbst es sein Leben lang gewesen war. Er war sicher, dass der Tod ihm das Leben nicht entreißen, sondern behutsam aus der Hand nehmen würde. Er stellte sich vor, wie der Tod vorsichtig anklopfte, die Tür nur einen Spalt öffnete und »Darf ich?« fragte, was Bauer Häubel natürlich bejahen würde. »Selbstverständlich«, würde Bauer Häubel sagen, »treten Sie doch ein«, und der Tod würde eintreten. Er würde sich an Bauer Häubels Bett stellen und fragen: »Passt es Ihnen jetzt? Ich kann sonst auch zu einem späteren Zeitpunkt vorbeikommen.« Bauer Häubel würde sich aufrichten und »Nein, nein, es passt mir gerade sehr gut« sagen, »lassen Sie es uns besser nicht noch einmal verschieben, wer weiß, wann Sie es wieder einrichten können«, und der Tod würde sich auf den schon bereitgestellten Stuhl am Kopfende setzen. Er würde sich im Vorhinein für die Kälte seiner Hände entschuldigen, die, das wusste Bauer Häubel, ihm überhaupt nichts ausmachen würde, und dann eine Hand auf Bauer Häubels Augen legen.	de	Rolnik Häubel był święcie przekonany, że śmierć będzie uprzejma, bo sam traktował wszystkich uprzejmie przez całe życie. Był pewien, że nie wydrze mu życia, tylko delikatnie weźmie mu je z ręki. Wyobrażał sobie, jak śmierć ostrożnie puka do drzwi, uchyla je odrobinę i przez szparę pyta: „Czy można?”, na co on, ma się rozumieć, odpowiada twierdząco. „Oczywiście – powiedziałby rolnik Häubel – proszę, niechże pani wejdzie”. Na co śmierć przestąpiłaby próg. Stanęłaby przy jego łóżku i spytała: „Czy teraz panu odpowiada? Mogę również zajrzeć w późniejszym terminie”. Rolnik Häubel wyprostowałby się na łóżku i odpowiedział: „Ależ nie, teraz bardzo mi pasuje, lepiej niech pani znowu tego nie przekłada, kto wie, kiedy znów znalazłaby pani czas”, a śmierć usiadłaby u wezgłowia łóżka, na przygotowanym zawczasu krześle. Przeprosiłaby z góry za swoje zimne ręce, co – rolnik Häubel doskonale to wiedział – nic a nic by mu nie przeszkadzało, i położyłaby dłoń na jego oczach.	pl
26	26	6	what_can_you_see_from_here	mariana_leky	Das stimmte. Der Hund war schneematschfarben, er war verwaschen grau und zottelig wie ein ausschließlicher Irischer Wolfhund ohne etwas anderes drin. Sein Körper war noch klein, aber seine Pfoten waren groß wie Bärentatzen, und wir wussten alle, was das bedeutete. Selma stand immer noch erhoben vor der Küchenbank. Sie schaute lange auf den Hund. Dann sah sie meinen Vater an, als sei er ein Geschenkideengeschäft.	de	To była prawda. Pies przypominał kolorem śnieżną breję, był bladoszary i kudłaty jak wyłączny wilczarz irlandzki, bez żadnej domieszki. Tułów miał jeszcze mały, za to łapy wielkie jak u niedźwiedzia, i wszyscy wiedzieliśmy, co to oznacza. Selma wciąż stała wyprostowana przed kuchenną ławą. Długo przypatrywała się psu, a potem spojrzała na ojca, jakby był sklepikiem z pamiątkami.	pl
27	27	7	what_can_you_see_from_here	mariana_leky	»Klappe halten«, sagte der Optiker noch einmal lauter und ging schneller, »Selma findet nur sehr selten etwas bedrohlich oder unansehnlich.« Damit hatte er völlig recht, und damit hatte er leider mehr gesagt, als er den Stimmen eigentlich hätte antworten sollen. Aber die Liebe fände sie womöglich ausgerechnet doch unansehnlich, zischelten die Stimmen, es habe ja einen Grund, sagten sie, dass die Wahrheit so lange verborgen wurde. »Feigheit war das«, sagte der Optiker und schob die Ledertasche auf die andere Hüfte, weil das Rempeln der Tasche und das Rempeln der Stimmen langsam begannen wehzutun. »Besonnenheit war das«, sagten die Stimmen, »Angst ist ja manchmal doch ein guter Ratgeber«, sagten sie und summten die Titelmelodie der Vorabendserie. Der Optiker wurde jetzt langsamer. Der Weg zu Selmas Haus, der eigentlich zehn Minuten dauerte, kam ihm plötzlich vor wie eine Tagesreise, eine Tagesreise mit sehr, sehr viel Gepäck.	de	– Morda w kubeł! – powtórzył głośniej Optyk i przyspieszył kroku. – Selma bardzo rzadko uważa, że coś jest groźne lub nieapetyczne. I miał zupełną rację, niestety zdradził tym więcej, niż powinien był powiedzieć swoim głosom. – Ale akurat miłość mogłaby uznać za nieapetyczną – syknęły głosy – w końcu istnieją powody, dla których ta prawda tak długo już tkwi w ukryciu. – To z tchórzostwa – powiedział Optyk i przerzucił skórzaną torbę na drugie biodro, bo obijanie się torby i naskakiwanie głosów powoli zaczynały dawać mu się we znaki. – To z roztropności – skontrowały głosy. – Strach jest niekiedy dobrym doradcą – dodały i zanuciły melodię z amerykańskiego serialu. Optyk zwolnił kroku. Droga do domu Selmy, która zajmowała mu zwykle dziesięć minut, wydała mu się raptem całodzienną podróżą, całodzienną podróżą z wieloma, bardzo wieloma bagażami.	pl
28	28	4	what_can_you_see_from_here	mariana_leky	Auch das Schwimmen hatten Selma und der Optiker uns beigebracht, sie hatten im Nichtschwimmerbecken gestanden, beide bis zum Bauchnabel im Wasser, Selma trug eine große violette Rüschen-Badehaube, die aussah wie eine Hortensie und die sie sich von Elsbeth geliehen hatte, damit Rudi Carrells Frisur nichts geschah. Ich lag mit dem Bauch auf Selmas Händen, Martin auf den Händen des Optikers. »Wir lassen nicht los«, sagten Selma und der Optiker, und irgendwann: »Wir lassen jetzt los«, und Martin und ich schwammen, erst zappelig und mit vor Panik und Stolz weit aufgerissenen Augen, dann immer sicherer. Selma fiel dem Optiker jubelnd in die Arme, und dem Optiker traten die Tränen in die Augen.	de	Selma i Optyk nauczyli nas także pływać. Stali oboje w brodziku po pępek w wodzie, Selma miała na głowie duży fioletowy czepek z koronkami, który przypominał hortensję, pożyczyła go od Elsbeth, żeby uchronić fryzurę Rudiego Carrella. Ja leżałam na brzuchu na rękach Selmy, Martin na rękach Optyka. – Nie puścimy was – powtarzali oboje, a w którymś momencie ostrzegli: – Teraz puszczamy! – i zaczęliśmy z Martinem płynąć, z początku szarpiąc się i chlapiąc, z oczami wybałuszonymi ze strachu i dumy, a potem coraz pewniej. Selma z radości rzuciła się Optykowi na szyję, a jemu łzy stanęły w oczach.	pl
